年月,區域別,里數,鄰數,戶數,性別,人口數,遷入人數,遷出人數,出生人數,死亡人數,平地原住民,山地原住民,年齡14歲以下人數,年齡15至64歲人數,年齡65歲以上人數
10401,新竹市,122,2216,155296,男女合計,432259,1666,1607,431,219,1795,1908,,,
10401,新竹市,122,2216,155296,男,213933,725,721,234,141,849,764,,,
10401,新竹市,122,2216,155296,女,218326,941,886,197,78,946,1144,,,
10401,東區,53,1033,75186,男女合計,207081,859,713,188,96,590,805,,,
10401,東區,53,1033,75186,男,102017,381,313,100,66,252,305,,,
10401,東區,53,1033,75186,女,105064,478,400,88,30,338,500,,,
10401,北區,45,808,54359,男女合計,148766,560,609,151,89,642,663,,,
10401,北區,45,808,54359,男,72989,233,274,83,54,309,271,,,
10401,北區,45,808,54359,女,75777,327,335,68,35,333,392,,,
10401,香山,24,375,25751,男女合計,76412,247,285,92,34,563,440,,,
10401,香山,24,375,25751,男,38927,111,134,51,21,288,188,,,
10401,香山,24,375,25751,女,37485,136,151,41,13,275,252,,,
10402,新竹市,122,2216,155394,男女合計,432366,1240,1296,338,175,1797,1907,,,
10402,新竹市,122,2216,155394,男,214017,586,574,178,106,850,764,,,
10402,新竹市,122,2216,155394,女,218349,654,722,160,69,947,1143,,,
10402,東區,53,1033,75259,男女合計,207218,648,606,160,65,595,803,,,
10402,東區,53,1033,75259,男,102107,313,272,87,38,254,304,,,
10402,東區,53,1033,75259,女,105111,335,334,73,27,341,499,,,
10402,北區,45,808,54377,男女合計,148757,405,440,97,71,640,666,,,
10402,北區,45,808,54377,男,72997,192,190,47,41,308,274,,,
10402,北區,45,808,54377,女,75760,213,250,50,30,332,392,,,
10402,香山,24,375,25758,男女合計,76391,187,250,81,39,562,438,,,
10402,香山,24,375,25758,男,38913,81,112,44,27,288,186,,,
10402,香山,24,375,25758,女,37478,106,138,37,12,274,252,,,
10403,新竹市,122,2215,155585,男女合計,432456,1960,2066,467,271,1801,1902,,,
10403,新竹市,122,2215,155585,男,214029,881,954,254,169,849,769,,,
10403,新竹市,122,2215,155585,女,218427,1079,1112,213,102,952,1151,,,
10403,東區,53,1033,75348,男女合計,207297,950,961,219,129,590,801,,,
10403,東區,53,1033,75348,男,102125,432,458,122,78,250,304,,,
10403,東區,53,1033,75348,女,105172,518,503,97,51,340,497,,,
10403,北區,45,807,54436,男女合計,148741,658,732,157,99,638,673,,,
10403,北區,45,807,54436,男,72968,295,344,85,65,307,279,,,
10403,北區,45,807,54436,女,75773,363,388,72,34,331,394,,,
10403,香山,24,375,25801,男女合計,76418,352,373,91,43,573,446,,,
10403,香山,24,375,25801,男,38936,154,152,47,26,292,186,,,
10403,香山,24,375,25801,女,37482,198,221,44,17,281,260,,,
10404,新竹市,122,2188,155773,男女合計,432559,1775,1857,397,212,1809,1928,,,
10404,新竹市,122,2188,155773,男,214112,807,815,217,126,859,774,,,
10404,新竹市,122,2188,155773,女,218447,968,1042,180,86,950,1154,,,
10404,東區,53,1019,75457,男女合計,207440,887,832,186,98,592,803,,,
10404,東區,53,1019,75457,男,102197,407,381,104,58,253,304,,,
10404,東區,53,1019,75457,女,105243,480,451,82,40,339,499,,,
10404,北區,45,794,54467,男女合計,148729,590,650,125,77,643,673,,,
10404,北區,45,794,54467,男,72969,255,274,61,41,313,281,,,
10404,北區,45,794,54467,女,75760,335,376,64,36,330,392,,,
10404,香山,24,375,25849,男女合計,76390,298,375,86,37,574,452,,,
10404,香山,24,375,25849,男,38946,145,160,52,27,293,189,,,
10404,香山,24,375,25849,女,37444,153,215,34,10,281,263,,,
10405,新竹市,122,2188,156035,男女合計,432692,2154,2198,368,191,1821,1937,,,
